Colonia,El patrimonio,La familia,La libertad y la seguridad sexual,La vida y la integridad corporal,Superficie en kilómetros cuadrados,Población femenina,Población masculina,Niños 3 - 14 años,Población en hogares censales indígenas,Población con discapacidad,Población que no asiste a la escuela,Población de 12 años y más no económicamente activa,Población de 12 años y más desocupada,Viviendas sin medio de transporte,Viviendas sin tecnologías
MIRAMAR,768,203,48,143,"89.255,25","14,578","14,168","9,198","1,294","1,38","3,014","7,034",213,"3,115",38
MIRAVALLE,957,121,26,158,"44.227,12","2,957","2,604","1,477",6,295,490,"1,844",42,762,4
MISION  ACUEDUCTO,49,16,1,11,"44.227,12","2,957","2,604","1,477",6,295,490,"1,844",42,762,4
MISION CAPISTRANO,10,2,1,1,"1.039.015,68",328,325,262,0,16,70,219,1,35,0
MISION DE LA CANTERA,15,6,1,0,"1.254.623,69",595,600,389,0,20,175,299,7,110,3
MISION DE LOS VIÃ‘EDOS,71,27,4,22,"1.254.623,69",595,600,389,0,20,175,299,7,110,3
MISION DEL BOSQUE,104,34,5,21,"91.937,59","2,692","2,562","1,367",16,122,845,"1,465",21,434,1
MISION DEL VALLE,18,6,0,5,"209.239,19",448,386,185,10,18,87,207,3,67,0
MISION EL CAMPANARIO,16,13,1,3,"270.689,06",890,791,768,4,28,201,483,6,141,1
MISION LA FLORESTA,36,7,0,4,"169.555,83",818,727,399,6,34,181,365,8,72,0
MISION LA VALENCIANA,9,8,0,5,"105.536,25","1,234","1,176",909,11,16,255,493,10,427,4
MISION MAGNOLIA,54,10,3,11,"202.549,93","1,15","1,155",801,3,12,296,570,9,209,1
MISION SAN FRANCISCO II,87,15,5,18,"323.271,64",609,570,444,17,19,177,306,18,109,1
MISION SAN FRANCISCO III,30,8,1,4,"157.446,62",394,366,293,3,13,95,201,6,68,0
MISION SANTA ANA,0,1,0,0,"710.196,48",208,175,147,4,9,38,102,4,15,0
MISSION SAN FRANCISCO,22,4,0,2,"236.796,26",710,708,540,0,19,152,331,7,111,0
MITICA RESIDENCIAL,2,0,0,0,"236.796,26",710,708,540,0,19,152,331,7,111,0
MOCTEZUMA,126,6,0,7,"212.283,14","2,507","2,331","1,032",39,168,412,992,26,818,3
MOCTEZUMA PTE,44,5,0,1,"155.127,35","1,446","1,33",553,13,71,259,668,15,225,0
MODELO,59,8,0,6,"138.865,93",931,857,406,10,145,228,592,10,225,4
MODERNA,1920,33,25,101,"1.155.923,11","2,037","1,894",626,42,200,360,"1,015",40,526,17
MOLINO DEL SALVADOR,11,5,0,3,"217.720,76",0,0,0,0,0,0,0,0,0,0
MONRAZ,422,6,4,12,"226.255,06","1,48","1,339",324,12,56,316,808,5,114,2
MONTEVERDE,5,2,0,0,"315.161,51",110,94,67,4,3,17,37,0,5,0
MONTEVERDE III,12,3,1,0,"671.266,96",409,401,282,5,13,88,187,6,29,1
MONUMENTAL,776,38,5,38,"333.854,37","4,092","3,633","1,473",8,324,847,"2,816",38,478,7
MORELOS,737,48,17,45,"342.609,60","4,887","4,218","1,816",41,640,873,"3,013",70,"1,121",8
NAJAYOTE,9,9,0,4,"3.419.217,73",711,622,396,11,85,133,366,9,175,4
NATURA BOSQUE,4,0,0,0,"367.011,98",174,178,77,0,1,31,77,2,7,0
NATUREZZA,1,0,0,0,"391.712,15",176,179,126,1,3,37,83,2,3,1
NEXTIPAC,44,17,9,12,"211.974,40","1,376","1,375","1,016",185,82,333,818,9,237,6
NIÃ‘OS HEROES,172,2,3,9,"211.974,40","1,376","1,375","1,016",185,82,333,818,9,237,6
NOVATERRA,15,1,1,1,"191.167,07",41,28,27,0,0,12,18,0,0,0
NOVATERRA RESIDENCIAL,7,2,0,1,"667.967,66",985,957,903,7,84,174,511,13,298,3
NUEVA CENTRAL CAMIONERA,209,6,2,19,"120.597,79",1,1,4,1,1,5,1,1,1,1
NUEVA ESPAÃ‘A,162,35,11,39,"120.597,79",1,1,4,1,1,5,1,1,1,1
NUEVA GALICIA,193,28,2,16,"680.430,85","3,842","3,517","2,184",20,117,914,"2,18",20,49,2
NUEVA PRIMAVERA,50,12,4,5,"26.883,78","1,207","1,023",585,12,126,206,525,19,395,1
NUEVA SANTA MARIA,369,133,24,142,"263.895,64","1,024","1,015",686,31,119,217,531,4,269,2
NUEVA VIZCAYA,3,2,0,1,"555.123,20",522,542,490,1,39,112,218,5,142,1
NUEVO AMANECER,8,1,0,2,"1.571.280,45",142,103,103,0,4,27,75,3,34,1
NUEVO ISRAEL,5,9,1,8,"18.793,13",0,0,0,0,0,0,0,0,0,0
NUEVO MEXICO,137,23,9,18,"80.914,54",72,74,27,0,2,10,22,0,6,0
NUEVO PRIMAVERA,0,1,0,0,"219.971,11",0,0,0,0,0,0,0,0,0,0
NUEVO SAN MIGUEL I,5,3,2,3,"81.136,08",71,77,56,0,1,17,39,0,18,0
NUEVO TLAJOMULCO,1,1,0,0,"442.215,15",48,45,41,0,0,13,25,1,7,0
NUEVO VERGEL,74,41,14,36,"142.238,25","2,329","2,313","1,614",51,219,408,"1,102",47,586,19
OBELISCOS,91,21,2,12,"90.942,37","1,04","1,021",668,10,59,210,572,3,205,3
OBLATOS,2250,233,33,239,"228.277,69","13,838","12,999","7,472",77,"1,772","2,631","8,038",185,"3,45",16
OBLATOS PTE,70,13,0,4,"1.685.098,32","1,253","1,129",682,7,166,219,670,23,265,1
OBRERA,1020,22,8,45,"1.174.090,25","1,062","1,145",176,4,35,101,262,12,69,5
OBSERVATORIO,83,7,1,4,"952.182,25",486,439,233,4,35,101,248,3,125,0
OJO DE AGUA,69,25,5,28,"144.503,23",942,"1,024",808,18,62,231,484,13,247,5
OLIMPICA,817,29,14,50,"1.145.917,52","3,061","2,771","1,093",8,251,734,"2,152",45,543,4
OLIVOS RESIDENCIAL,8,2,0,1,"566.299,67",494,451,281,0,6,172,326,11,2,0
OSORIO COMUNAL,25,4,3,3,"69.538,87",32,37,26,2,8,26,21,5,7,2
OYAMEL,3,1,0,0,"1.285.451,28",150,138,102,0,8,27,52,2,2,0
PACHAGUILLO,19,3,0,4,"609.955,68",196,209,132,9,28,51,99,1,44,0
PACIFICO,124,41,7,46,"1.867.728,17","3,432","3,368","2,41",31,286,730,"1,902",40,767,11
PAISAJES DEL TAPATIO,1,1,0,1,"833.654,54",0,0,0,0,0,0,0,0,0,0
PAISAJES DEL TESORO,462,1,0,10,"2.912.685,28",571,577,275,12,18,169,288,14,72,2
PALERMO,5,3,0,0,"623.998,43","1,446","1,454","1,072",30,64,239,632,19,163,4
PALMA REAL,17,2,1,1,"2.513.658,88",0,0,0,0,0,0,0,0,0,0
PALMIRA,158,29,6,42,"56.789,17","3,576","3,469","2,479",262,369,732,"1,538",63,783,6
PALO DULCE,2,2,0,2,"479.286,57",128,144,104,0,18,25,78,0,29,1
PANORAMICA DE HUENTITAN,137,13,6,15,"94.760,36","1,132","1,12",538,4,89,266,611,8,205,2
PANTEON,8,3,0,1,"1.241.781,03",112,130,64,1,5,17,69,0,35,1
PARAISO,127,14,4,25,"110.906,01","1,85","1,822","1,514",132,214,367,874,33,528,9
PARAISO LOS PINOS,2,2,0,0,"165.260,22",20,23,13,1,2,5,8,1,1,1
PARAISOS DEL COLLI,511,93,17,81,"706.806,10","8,346","8,127","5,244",405,684,"1,727","4,361",145,"1,502",15
PARQUE ARRAYANES,33,6,0,1,"135.397,55",552,472,361,4,19,115,262,4,9,0
PARQUE DE LA CASTELLANA,3,0,0,1,"50.671,26",935,829,274,1,43,235,540,18,14,1
PARQUE DE LAS AVES,2,1,0,0,"29.568,22",592,559,347,37,25,95,199,5,125,1
PARQUE DE LAS AZALEAS,1,1,0,0,"1.077.816,86",276,253,175,0,10,42,108,3,23,0
PARQUE GUADALUPE,4,1,0,0,"818.062,50",598,547,266,5,31,182,418,5,18,0
PARQUE INDUSTRIAL EL ALAMO,72,3,1,4,"520.573,44",432,377,190,0,21,71,295,3,69,0
PARQUE METROPOLITANO,167,3,0,8,"520.573,44",432,377,190,0,21,71,295,3,69,0
PARQUE REAL,64,28,10,22,"1.900.806,35",335,309,230,3,9,83,163,6,46,0
PARQUE REGENCY,15,0,1,2,"197.951,19",556,495,147,4,37,115,313,9,17,1
PARQUE SERENO,1,1,1,0,"507.924,37",102,81,66,0,2,19,78,0,0,0
PARQUE VIRREYES,1,0,0,0,"337.171,23",486,410,299,0,12,128,310,4,1,0
PARQUES COLON,81,8,1,2,"369.215,80","1,577","1,383",707,8,56,381,796,13,165,0
PARQUES DE LA VICTORIA,189,32,6,23,"11.789,86","4,95","4,887","4,33",53,228,956,"2,115",51,"1,249",5
PARQUES DE SAN PEDRO,41,1,1,1,"103.978,63",478,427,248,9,22,133,286,2,43,1
PARQUES DE SANTA MARIA,280,37,7,25,"416.022,71","4,842","4,493","2,46",25,232,"1,356","2,589",86,822,4
PARQUES DE STA CRUZ DEL VALLE,295,39,1,33,"1.415.816,86","4,694","4,611","3,481",50,239,"1,336","2,708",61,658,5
PARQUES DE TESISTAN,138,62,8,39,"306.279,84","4,855","4,579","3,381",70,251,"1,301","2,701",48,716,5
PARQUES DE TESISTAN III,5,3,0,0,"268.569,56","1,851","1,745","1,267",35,48,315,690,8,236,1
PARQUES DE TLAQUEPAQUE,78,7,1,8,"424.843,35",0,0,0,0,0,0,0,0,0,0
PARQUES DE ZAPOPAN,134,30,5,18,"117.980,62","2,559","2,375","1,381",40,150,645,"1,15",20,483,2
PARQUES DEL BOSQUE,190,13,3,5,"146.228,83","3,877","4,028","1,896",55,122,"1,442","2,064",54,195,0
PARQUES DEL CASTILLO,246,60,9,27,"110.158,86","4,827","4,597","4,003",110,208,"1,089","2,32",66,"1,182",4
PARQUES DEL CENTINELA,19,4,0,3,"671.016,35",867,792,499,0,36,207,440,10,33,0
PARQUES DEL NILO I,178,4,1,8,"112.546,03","1,351","1,233",700,8,46,349,691,7,188,0
PARQUES DEL PALMAR,142,21,0,12,"1.025.398,66","3,21","3,026","2,232",19,106,532,"1,192",41,609,1
PARQUES DEL TRIUNFO,17,4,2,6,"187.443,76","1,577","1,511","1,421",22,41,272,630,22,459,5
PARQUES TEPEYAC,17,3,0,3,"326.490,03",457,369,149,1,30,83,221,2,33,0
PASEO DE LOS AGAVES,115,40,16,42,"1.519.914,60","5,871","5,905","5,056",180,383,"1,108","2,811",136,"2,25",23
PASEO DEL BOSQUE,3,0,0,0,"313.429,93",59,65,30,0,0,12,24,0,1,0
PASEO PUENTE VIEJO,58,17,4,13,"160.439,00","1,647","1,576","1,327",8,127,414,851,13,431,16
PASEOS DE LA CAÃ‘ADA,59,16,4,9,"160.439,00","1,647","1,576","1,327",8,127,414,851,13,431,16
PASEOS DE LA HACIENDA,30,11,0,6,"619.301,22","2,174","2,18","1,867",47,195,560,"1,23",36,456,5
PASEOS DE SANTIAGO,45,17,3,10,"1.221.215,36","1,69","1,609","1,46",10,27,329,750,15,454,4
PASEOS DE TONALA,29,6,1,2,"38.907,63",408,416,317,18,53,102,213,15,80,5
PASEOS DEL BRISEÃ‘O,55,12,1,8,"38.907,63",408,416,317,18,53,102,213,15,80,5
PASEOS DEL CAMICHIN,0,1,0,0,"151.157,31",293,278,204,0,8,82,177,1,8,0
PASEOS DEL LAGO,174,4,0,13,"48.581,71",324,330,178,0,28,49,178,10,58,0
PASEOS DEL PARQUE,3,0,0,1,"17.826,37",653,589,348,18,51,199,339,15,65,8
PASEOS DEL PRADO,107,20,5,17,"89.696,84","2,684","2,561","1,985",54,131,683,"1,528",50,521,2
PASEOS DEL SOL,846,45,5,36,"1.148.457,02","7,674","7,064","2,238",59,538,"1,343","3,906",115,917,4
PASEOS DEL VALLE,312,68,12,62,"1.178.423,86","4,541","4,156","2,371",27,476,"1,106","2,453",75,"1,06",6
PASEOS UNIVERSIDAD,14,9,1,1,"504.983,61","1,092","1,047",487,38,36,243,418,11,84,0
PATRIA,1,0,0,1,"238.196,67",29,33,35,0,1,7,17,0,8,0
PBLO SAN MARTIN DE LAS FLORES DE ABAJO,0,0,0,1,"1.107.906,53",176,185,124,0,5,39,93,5,51,0
PEDREGAL DE SAN MIGUEL,1,1,0,0,"232.101,70",0,0,0,0,0,0,0,0,0,0
PEDREGAL DE SANTA MARTHA,22,10,1,13,"232.101,70",0,0,0,0,0,0,0,0,0,0
PEDREGAL DEL BOSQUE,5,2,0,0,"23.605,50",717,695,391,0,11,102,261,2,18,0
PEDRO MORENO,35,13,1,7,"111.145,75",888,803,506,20,121,185,546,4,209,2
PINAR DE LA CALMA,417,16,3,14,"418.869,49","3,113","2,869",907,9,175,535,"2,096",51,328,2
PINAR DE LA VENTA,28,3,0,3,"455.657,20",0,0,0,0,0,0,0,0,0,0
PINAR DE LAS PALOMAS,114,25,2,16,"116.755,27","1,021",992,708,5,103,209,597,13,203,2
PINAR DE LAS PALOMAS I,24,1,2,2,"168.038,11",205,184,118,0,18,54,124,4,46,0
PINO SUAREZ,26,5,0,4,"541.658,02",138,133,63,0,1,28,80,1,8,0
PIRAMIDES,27,3,0,3,"1.143.553,69",351,312,147,0,36,51,188,5,59,1
PLACITA DEL SOL,1,0,0,0,"50.948,45",10,4,4,0,0,5,7,0,0,0
PLAN DE LAS FLORES,16,3,0,3,"421.579,98",226,227,186,15,13,59,142,3,57,2
PLAN DE ORIENTE,88,24,8,40,"897.302,99",749,727,637,5,33,196,350,20,195,5
PLAN DEL RIO,2,2,0,1,"920.192,94",417,378,387,4,10,78,190,5,115,0
PLAYAS DE CAJITITLAN,6,0,0,1,"461.097,98",1,1,4,1,1,5,1,1,1,1
PLAZA GUADALUPE,363,26,2,26,"3.255.672,21","4,272","3,83","1,305",44,219,804,"2,161",87,590,3
PLUTARCO ELIAS CALLES,30,6,2,1,"188.794,38",220,204,163,5,13,73,108,6,25,1
POLANCO,252,45,7,53,"633.287,14","3,251","2,972","1,823",32,443,584,"1,887",55,716,7
POLANQUITO PONIENTE,77,18,4,19,"966.197,22","1,123","1,091",849,16,67,221,622,22,267,4
POLIGONO FABRICA AGYDSA,45,1,0,2,"966.197,22","1,123","1,091",849,16,67,221,622,22,267,4
