Colonia,El patrimonio,La familia,La libertad y la seguridad sexual,La vida y la integridad corporal,Superficie en kilómetros cuadrados,Población femenina,Población masculina,Niños 3 - 14 años,Población en hogares censales indígenas,Población con discapacidad,Población que no asiste a la escuela,Población de 12 años y más no económicamente activa,Población de 12 años y más desocupada,Viviendas sin medio de transporte,Viviendas sin tecnologías
PUERTA AQUA,1,0,0,0,"610.768,44",110,103,73,1,1,43,86,2,1,1
PUERTA DE HIERRO,689,29,7,42,"1.428.033,27","2,98","2,698",749,5,66,557,"1,438",10,24,2
PUERTA DE PLATA,34,4,0,1,"1.338.661,63",355,362,208,0,7,140,267,0,0,0
PUERTA DEL BOSQUE,28,7,2,3,"2.359.641,49",469,472,305,23,18,115,247,1,54,1
PUERTA DEL LLANO,15,6,0,2,"122.359,65",0,0,0,0,0,0,0,0,0,0
PUERTA DEL PRADO,0,0,0,1,"333.048,11",311,306,199,0,5,50,101,2,8,0
PUERTA DEL ROBLE,2,1,1,1,"22.967,32",287,249,168,0,1,74,165,0,4,0
PUERTA DEL ROSARIO,16,2,0,4,"86.636,85",147,129,123,0,4,42,69,0,25,0
PUERTA DEL SOL,16,7,0,6,"2.311.660,23",0,0,0,0,0,0,0,0,0,0
PUERTA DEL TULE,115,5,1,17,"1.219.954,08",949,932,465,1,10,301,630,7,25,1
PUERTA DEL VALLE,8,3,0,0,"55.905,64",237,236,137,6,10,53,182,0,5,0
PUERTA LAUREL,3,0,0,0,"83.820,91",428,404,192,8,5,127,240,3,21,0
PUERTA REAL,14,19,3,7,"157.517,94","1,656","1,662","1,519",128,63,327,781,22,620,17
PUERTA SERENA,1,3,0,1,"770.245,58",582,580,337,12,21,73,169,7,28,1
PUERTA SOL,3,1,1,0,"300.903,88",198,200,161,0,21,37,88,2,45,1
PUERTA SOL AUTOPISTA,8,1,0,3,"1.020.435,47",0,0,0,0,0,0,0,0,0,0
PUERTA TESISTAN,1,0,0,0,"122.289,21",8,11,4,0,0,1,7,0,1,0
PUERTAS DEL ANGEL,3,1,0,2,"165.602,13",315,298,197,5,9,69,133,9,16,1
PUESTA DEL SOL,78,22,2,16,"1.131.257,67","3,854","3,719","2,825",169,256,622,"1,32",44,"1,486",4
PUNTA CORAL AQUA,3,2,0,4,"182.947,33",673,667,470,20,76,123,278,2,151,0
PUNTA DE OTERO,1,0,0,0,"1.280.751,57",410,392,160,4,5,80,166,4,20,0
PUNTA VALDEPEÃ‘AS,3,0,1,0,"1.280.751,57",410,392,160,4,5,80,166,4,20,0
PUNTO SUR,81,2,1,3,"909.642,61",565,582,306,1,8,116,276,8,10,2
QUINTA SANTA ANITA,1,2,0,1,"194.976,34",34,39,34,2,2,17,26,2,2,2
QUINTA VELARDE,389,22,6,28,"146.795,04","1,788","1,594",741,26,191,368,"1,132",56,411,5
QUINTAS DE LA SOBERANA,3,0,0,0,"774.666,74",744,744,398,6,17,201,359,15,95,0
QUINTAS DE TATEPOSCO,3,3,0,0,"320.613,81",72,59,53,4,0,15,41,1,13,0
QUINTAS DEL BOSQUE,8,4,0,1,"36.599,28",608,590,380,0,6,124,321,2,27,0
QUINTAS DEL FEDERALISMO,20,5,1,9,"52.675,15","1,24","1,13",661,13,95,329,768,10,89,0
QUINTAS DEL PARAISO,44,6,0,2,"14.991,71",800,745,553,8,97,188,393,12,126,0
QUINTAS DEL VALLE,39,7,2,12,"3.165.738,21","2,887","2,859","2,394",85,80,546,"1,073",61,"1,21",31
QUINTERO,78,13,0,22,"191.522,83","1,585","1,446",916,7,173,316,920,15,429,4
RANCHO ALEGRE,63,28,5,23,"500.827,02","2,343","2,179","1,532",10,156,511,"1,178",49,717,3
RANCHO BLANCO,109,12,3,18,"2.822.621,57",515,466,253,8,55,106,255,5,143,1
RANCHO CONTENTO,52,1,0,0,"219.597,64",0,0,0,0,0,0,0,0,0,0
RANCHO DE LA CRUZ,214,37,9,38,"75.210,13","3,879","3,796","2,832",32,154,920,"1,978",49,758,7
RANCHO NUEVO,427,133,26,89,"297.755,08",6,5,1,0,1,2,0,0,1,0
RANCHO SAN GABRIEL,0,0,0,2,"297.755,08",6,5,1,0,1,2,0,0,1,0
RDA DEL AUDITORIO,43,9,1,7,"62.465,60","1,147","1,077",617,6,51,313,611,12,159,1
REAL,199,20,5,15,"295.777,04","1,397","1,248",594,17,180,280,787,28,391,1
REAL CANTABRIA,0,1,0,0,"113.747,69","1,222","1,167",780,13,30,182,370,16,50,0
REAL DE LAS LOMAS,2,1,0,1,"657.861,17",24,21,23,0,3,4,11,1,1,0
REAL DE SAN SEBASTIAN,10,8,2,5,"579.101,11",823,824,790,36,43,177,448,9,261,2
REAL DE SANTA ANITA,5,4,1,0,"305.368,01",261,275,243,8,26,50,112,8,81,2
REAL DE TESISTAN,3,3,0,2,"185.367,99",183,177,126,12,19,45,95,3,20,0
REAL DE VALDEPEÃ‘AS,38,14,4,9,"185.367,99",183,177,126,12,19,45,95,3,20,0
REAL DEL BOSQUE,81,15,1,6,"152.267,20",106,103,19,0,0,11,38,0,0,0
REAL DEL CAMICHIN 8469,0,0,1,0,"286.260,30",131,119,86,0,1,33,73,0,2,0
REAL DEL CARMEN,6,2,0,1,"96.831,10",233,215,138,18,8,55,107,6,24,0
REAL DEL PARQUE,11,10,2,7,"91.708,39",0,0,0,0,0,0,0,0,0,0
REAL DEL SOL,180,62,8,32,"1.271.006,70","4,96","4,976","4,083",68,374,945,"2,034",47,"1,116",7
REAL DEL VALLE,226,54,9,44,"703.189,94","7,415","6,987","5,349",75,397,"1,832","4,105",94,856,2
REAL PATRIA,31,5,0,3,"1.153.569,63",89,91,39,0,11,21,49,0,6,0
REAL TONALA,3,1,0,2,"35.099,10",38,33,16,0,2,5,17,1,1,0
REAL VALLARTA,179,10,1,5,"297.843,03","1,219","1,121",252,0,53,250,698,13,102,1
RECIENTE AMANECER,7,1,0,0,"31.471,51",126,118,95,11,11,29,54,6,17,1
REFORMA,485,35,10,52,"380.069,51","1,533","1,562",848,118,161,269,815,25,618,5
RENACERES,8,1,0,4,"177.456,92",0,0,0,0,0,0,0,0,0,0
REPUBLICA,52,10,4,13,"126.411,26","1,368","1,186",506,51,160,261,901,40,314,3
RESERVA LAS MAGNOLIAS,11,0,0,0,"470.831,92",166,144,102,5,4,31,74,3,4,0
RESIDENCIAL ARRAYANES,22,1,0,1,"470.708,95",196,203,86,0,9,32,65,1,10,0
RESIDENCIAL BUGAMBILIAS ZAPOTLANEJO,4,4,1,3,"207.455,42",0,0,0,0,0,0,0,0,0,0
RESIDENCIAL CAMPESTRE,3,1,0,1,"1.559.531,83",133,136,118,1,20,38,87,2,28,1
RESIDENCIAL CHAPALITA,17,1,1,2,"568.850,61",439,357,229,0,15,95,226,8,7,1
RESIDENCIAL DE LA BARRANCA,18,1,4,4,"197.571,87",317,340,222,0,3,72,208,3,21,0
RESIDENCIAL DEL VALLE,15,3,1,2,"361.709,70",708,713,415,32,21,189,514,7,55,0
RESIDENCIAL HUERTA VIEJA,2,2,1,1,"2.481.940,36","1,665","1,635","1,362",54,110,288,577,30,625,11
RESIDENCIAS  DEL PRADO,43,11,1,7,"611.068,08",107,117,104,0,1,26,64,1,13,1
REVOLUCION,947,71,11,67,"45.249,82","3,037","2,735","1,119",2,184,609,"2,056",30,359,0
REVOLUCIONARIA,18,4,0,8,"196.147,89",442,444,271,0,41,67,230,6,96,2
REY XOLOTL,118,32,5,28,"172.033,13","2,623","2,643","1,8",62,522,516,"1,429",39,566,10
RICARDO FLORES MAGON,441,16,8,39,"1.321.097,62",272,268,244,1,9,56,141,1,54,0
RINCON DE LA AGUA AZUL,48,3,1,3,"237.098,11",88,108,52,5,6,23,38,2,28,1
RINCON DE LOS COPALES,4,2,0,2,"66.897,51",70,80,43,0,4,12,34,0,8,0
RINCON DEL BOSQUE,16,0,0,1,"1.285.364,29",269,283,135,1,20,88,141,1,8,0
RINCONADA DE LOS NOGALES,2,0,0,0,"1.285.363,34",128,134,121,0,2,24,72,4,27,0
RINCONADAS DE LA PRIMAVERA,4,4,0,0,"72.271,14",278,266,218,9,21,64,144,3,50,0
RINCONADAS DE ZAPOPAN,0,1,0,0,"1.398.526,15",199,165,137,8,8,37,84,0,25,0
RINCONADAS DEL AIRE,12,3,0,2,"137.325,06",326,345,146,0,9,78,139,1,49,1
RINCONADAS DEL BOSQUE,10,3,1,2,"123.804,72",150,152,86,0,2,44,86,2,1,0
RINCONADAS DEL SOL,5,7,1,4,"227.794,78",546,515,466,1,13,97,212,3,90,1
RINCONADAS DEL SOL 2,10,0,0,0,"227.794,78",546,515,466,1,13,97,212,3,90,1
RIO BLANCO,10,2,3,6,"412.009,72",511,527,429,18,30,121,226,13,74,10
RIO VERDE,69,12,2,9,"330.978,12","1,549","1,446",772,6,203,284,835,24,416,2
RITZ AUTOCINEMA,63,5,4,10,"21.494,63",271,254,113,2,29,46,83,3,97,1
RIVERAS DE SAN IGNACIO,0,1,0,3,"564.182,09",0,0,0,0,0,0,0,0,0,0
ROBERTO OROZCO,10,2,1,0,"731.900,53",972,849,693,29,54,219,472,14,133,0
ROMITA,12,9,2,6,"180.183,63",343,343,176,4,39,65,190,6,85,0
ROYAL COUNTRY,23,2,1,2,"132.795,85",482,396,201,1,48,116,325,3,2,1
RUBEN JARAMILLO,4,1,2,1,"888.268,16",0,0,0,0,0,0,0,0,0,0
SAGRADO CORAZON,24,4,0,2,"63.792,10",425,381,263,0,32,70,234,2,43,0
SAN AGUSTIN,910,55,17,88,"48.883,49","5,551","5,485","3,495",77,636,"1,248","2,89",108,"1,287",20
SAN ANDRES,1443,155,30,143,"74.756,76",664,621,315,5,39,196,410,7,112,1
SAN ANTONIO,510,67,16,77,"30.050,27",0,0,0,0,0,0,0,0,0,0
SAN ARTURO,1,0,0,0,"211.752,93",455,439,147,8,6,307,339,9,42,0
SAN BERNARDO,41,0,1,1,"1.187.150,13",457,421,155,0,76,73,327,11,82,0
SAN CARLOS,294,20,4,20,"153.740,27","1,205","1,14",554,8,120,249,664,21,280,5
SAN CLEMENTE,26,5,1,5,"166.890,14",392,329,273,1,39,91,208,2,105,3
SAN DIEGO,15,0,0,1,"747.864,77",0,0,0,0,0,0,0,0,0,0
SAN ELIAS,129,16,2,14,"703.399,66",372,353,193,20,34,64,217,5,98,2
SAN ESTEBAN,10,15,6,10,"194.151,85",866,870,389,1,35,71,177,6,87,3
SAN EUGENIO,194,9,3,14,"105.047,62",697,711,390,0,26,142,413,4,74,0
SAN FELIPE,13,1,1,0,"328.336,97",663,633,397,0,96,121,340,2,134,2
SAN FRANCISCO,255,40,10,45,"391.204,36",752,714,325,1,93,126,473,23,242,2
SAN FRANCISCO DE LA SOLEDAD,46,2,0,8,"410.649,84",535,538,398,2,42,99,317,8,87,2
SAN GASPAR,276,58,20,74,"223.214,50","3,676","3,706","2,819",36,249,710,"1,602",35,"1,082",23
SAN ISIDR0 ( POTRERO DE SAN ISIDRO),1,0,0,1,"25.936,46",146,158,135,12,20,81,76,13,40,12
SAN ISIDRO,234,45,1,39,"72.317,60",0,0,0,0,0,0,0,0,0,0
SAN ISIDRO EJIDAL,233,48,12,33,"545.897,93","3,817","3,76","2,054",295,382,679,"2,076",60,957,8
SAN ISIDRO OBLATOS,143,35,7,30,"251.935,05","2,414","2,422","1,463",10,200,449,"1,391",17,695,5
SAN ISIDRO RESIDENCIAL,18,4,2,0,"493.750,88",564,550,369,0,26,140,344,9,40,0
SAN JOAQUIN,243,28,9,38,"299.055,78","2,53","2,272","1,547",38,293,514,"1,332",18,663,5
SAN JOAQUIN ZORRILLOS,7,0,1,0,"1.556.652,01",0,0,0,0,0,0,0,0,0,0
SAN JORGE,4,1,1,0,"703.081,57",233,263,214,0,13,41,130,3,69,1
SAN JOSE,14,1,1,10,"30.868,09",519,532,434,32,40,101,302,7,104,1
SAN JOSE DE LAS FLORES,24,1,3,5,"480.265,90",0,0,0,0,0,0,0,0,0,0
SAN JOSE DEL BAJIO,270,22,10,36,"417.824,04","1,866","1,737","1,095",330,167,371,"1,048",17,522,5
SAN JOSE DEL CASTILLO,103,22,7,14,"108.984,01","1,129","1,132",803,32,71,238,635,23,239,6
SAN JOSE DEL QUINCE,261,62,8,72,"746.211,20","7,427","7,402","5,687",267,"1,182","1,358","3,869",154,"1,967",40
SAN JOSE DEL RIO,34,8,0,4,"1.088.753,40",887,838,701,7,74,156,330,7,77,5
SAN JOSE DEL TAJO,42,2,0,3,"304.535,68",544,569,308,8,48,148,379,6,15,2
SAN JOSE DEL VALLE,107,7,0,12,"1.240.287,58",0,0,0,0,0,0,0,0,0,0
SAN JOSE EJIDAL,45,18,5,13,"2.897.016,25","1,51","1,546","1,181",88,141,331,897,21,253,7
SAN JOSE RIO VERDE,147,59,11,35,"73.960,81","3,642","3,539","2,472",9,333,733,"1,995",56,834,4
SAN JUAN,132,32,10,33,"353.062,52",431,467,365,23,27,97,249,1,95,0
SAN JUAN BOSCO,547,55,7,62,"699.532,53","3,741","3,613","1,709",43,609,644,"2,346",48,"1,048",2
SAN JUAN DE DIOS,1303,81,15,152,"1.173.943,79","4,577","4,403","1,918",98,496,887,"2,636",52,"1,532",12
SAN JUAN DE DIOS II,261,19,8,57,"308.524,34","1,289","1,242",638,23,137,224,705,12,434,2
SAN JUAN DE OCOTAN,693,141,41,115,"136.200,54","10,752","10,655","7,608","2,254",651,"2,181","4,927",186,"3,031",34
SAN JUAN DE OCOTAN 2,18,0,0,3,"136.200,54","10,752","10,655","7,608","2,254",651,"2,181","4,927",186,"3,031",34
SAN JUAN DEL RIO,4,0,0,2,"952.988,28",123,97,76,0,17,16,48,2,22,1
SAN JUAN EVANGELISTA,28,16,3,18,"665.307,08",0,0,0,0,0,0,0,0,0,0
SAN LORENZO,37,14,4,10,"688.892,80",388,433,329,14,50,84,217,6,94,6
SAN LUCAS EVANGELISTA,18,8,1,11,"182.505,23","1,471","1,466","1,245",20,154,305,747,20,363,10
SAN MARCOS,321,61,9,44,"988.667,43","4,655","4,34","2,312",65,512,901,"2,937",85,"1,115",11
SAN MARINO,6,2,1,1,"192.300,76",165,146,95,26,7,46,41,8,28,5
SAN MARTIN,247,37,9,32,"322.695,20","2,245","2,111","1,23",31,288,401,"1,17",32,652,2
SAN MARTIN DE LAS FLORES,1,0,0,1,"322.695,20","2,245","2,111","1,23",31,288,401,"1,17",32,652,2
SAN MARTIN DE LAS FLORES DE ABAJO,218,78,12,97,"276.081,64","5,567","5,386","3,825",16,288,"1,346","2,943",46,"1,516",70
SAN MARTIN DE LAS FLORES DE ARRIBA,120,29,10,41,"731.826,60","2,302","2,139","1,686",25,152,550,"1,369",17,568,16
SAN MARTIN DEL TAJO,36,4,0,5,"1.322.780,68",336,323,186,0,13,72,180,5,1,0
SAN MARTIN I,29,4,0,4,"264.527,50",378,325,229,2,52,87,196,7,97,3
SAN MARTIN II,19,6,3,3,"59.232,92",866,793,687,10,68,162,356,20,102,4
SAN MATEO,3,0,0,0,"308.030,97",91,84,57,3,7,19,58,3,14,0
SAN MIGUEL CUYUTLAN,125,28,7,37,"169.465,71","3,543","3,413","2,511",55,364,813,"2,032",32,779,16
SAN MIGUEL DE HUENTITAN,396,77,11,56,"598.508,96","5,582","5,382","3,323",27,610,"1,151","3,147",77,"1,171",16
SAN MIGUEL DE LA COLINA,17,0,1,0,"178.261,90",144,125,40,4,4,35,75,0,8,0
SAN MIGUEL DE MEZQUITAN,217,14,1,22,"919.101,86","2,252","1,979","1,057",12,232,390,"1,288",44,601,2
SAN MIGUEL RESIDENCIAL,16,2,0,0,"115.641,19",360,347,249,6,15,77,184,6,25,0
SAN NICOLAS DE LA PRIMAVERA,1,0,0,0,"592.903,11",52,61,51,23,5,14,27,1,13,1
SAN PABLO,23,3,1,3,"25.003,10",0,0,0,0,0,0,0,0,0,0
SAN PATRICIO,12,2,0,0,"474.577,10",505,444,218,4,55,108,236,5,45,0
SAN PEDRITO,867,107,32,149,"8.839,31","7,419","7,252","4,962",111,767,"1,493","4,018",91,"1,949",32
SAN RAFAEL,361,46,2,49,"625.061,41","4,217","3,774","2,066",9,279,813,"2,431",34,929,7
SAN REMO,13,0,0,0,"2.151.994,20",0,0,0,0,0,0,0,0,0,0
SAN SEBASTIAN EL GRANDE,480,111,31,94,"129.702,51","8,09","7,888","6,32",45,601,"1,638","3,657",98,"2,014",19
SAN SEBASTIANITO,345,19,2,29,"56.277,69","2,47","2,383","1,744",45,133,583,"1,351",30,586,5
SAN VICENTE,344,66,11,50,"136.692,86",267,264,208,1,24,58,150,5,66,1
SAN WENCESLAO,13,1,0,2,"2.253.647,60",863,741,242,21,46,195,588,14,27,1
SANTA ANA TEPETITLAN,258,96,27,93,"1.057.505,60","10,244","9,829","7,141",496,628,"2,088","4,656",96,"2,108",33
SANTA ANITA,455,39,7,42,"175.981,38",53,50,29,0,3,11,37,0,0,0
SANTA ANITA CAMINO REAL,50,2,0,2,"548.033,88",139,156,61,0,4,25,105,0,3,0
SANTA CATALINA,213,4,2,14,"555.991,46","1,059",937,374,0,24,339,732,6,6,0
SANTA CECILIA,515,132,29,116,"119.915,99","11,741","11,112","7,104",30,"1,136","2,23","6,984",207,"3,267",28
SANTA CECILIA (COLONIA MORELOS),37,6,4,14,"1.130.519,76","1,571","1,398","1,031",0,205,264,723,15,227,3
SANTA CRUZ,7,2,0,5,"608.410,13",233,235,169,7,22,56,95,4,51,0
SANTA CRUZ DE LA ALMEDA,1,1,0,0,"3.393.381,82",200,190,144,3,14,57,85,5,43,4
SANTA CRUZ DE LA LOMA (TEPETATES),28,5,3,9,"159.627,48",0,0,0,0,0,0,0,0,0,0
SANTA CRUZ DE LAS FLORES,393,41,14,61,"2.598.846,90","4,514","4,299","2,951",37,274,904,"2,499",45,949,31
SANTA CRUZ DE LAS HUERTAS,402,45,22,56,"146.094,11",779,813,460,29,58,128,276,10,194,5
SANTA CRUZ DEL VALLE,549,80,20,108,"344.738,34","7,172","7,139","5,489",55,593,"1,47","4,133",93,"1,561",29
SANTA EDUWIGES,293,10,0,14,"799.627,65",916,779,374,21,77,152,439,17,157,1
SANTA ELENA ALCALDE,289,31,5,22,"97.280,14","2,615","2,29",932,17,298,480,"1,556",36,485,4
SANTA ELENA DE LA CRUZ,165,66,8,43,"359.666,94","4,715","4,506","2,733",28,353,941,"2,686",42,"1,167",12
SANTA ELENA ESTADIO,150,25,4,20,"265.722,56","1,852","1,638",702,0,195,378,"1,098",19,408,1
SANTA FE,88,15,6,13,"81.446,13","1,339","1,319",968,3,173,205,738,8,274,7
SANTA ISABEL,80,6,0,11,"413.195,63",185,183,119,4,21,32,99,0,28,1
SANTA ISABEL II,53,16,3,12,"145.433,27",775,783,620,12,73,170,406,22,183,5
SANTA LUCIA,69,26,11,38,"572.536,25","3,319","3,218","2,392",65,438,704,"1,72",47,750,8
SANTA MA DE SILO,38,5,0,5,"66.566,11",614,544,339,5,16,113,366,34,125,0
SANTA MARGARITA,688,111,37,101,"219.652,61",119,110,51,0,1,30,48,2,5,0
SANTA MARGARITA RESIDENCIAL,198,39,3,33,"778.487,72","3,983","3,875","2,164",161,248,"1,222","2,161",54,590,2
SANTA MARIA,477,74,12,79,"427.466,66","1,019",894,441,9,79,184,583,14,272,1
SANTA MARIA DEL PUEBLITO,110,18,5,24,"351.772,98","1,074","1,14",658,94,113,225,549,12,273,5
SANTA MARIA TEQUEPEXPAN,1159,29,15,67,"49.479,63","3,043","2,931","1,813",99,235,839,"1,645",47,543,3
SANTA MONICA,301,10,2,20,"262.261,65","1,105",877,274,3,71,221,710,5,175,1
SANTA MONICA DE LOS CHORRITOS,9,8,2,8,"470.687,62","1,269","1,174",994,49,88,241,589,24,278,3
SANTA PAULA,504,118,32,126,"1.201.233,53","7,777","7,699","5,859",98,822,"1,494","4,136",104,"1,863",28
SANTA RITA,141,2,1,4,"198.782,65",238,179,46,0,8,30,144,1,14,1
SANTA ROSA,234,64,11,45,"201.773,58",99,102,60,15,6,23,57,1,20,0
SANTA ROSA DE LIMA,31,2,2,5,"93.774,45",0,0,0,0,0,0,0,0,0,0
SANTA ROSA DEL VALLE,252,70,11,77,"348.455,02","3,338","3,252","2,653",72,317,651,"1,683",62,835,9
SANTA ROSA II,4,0,0,0,"171.626,86","1,104","1,098",807,23,115,196,527,24,278,6
SANTA TERE,21,4,1,1,"59.507,22",917,771,435,1,139,140,478,12,213,5
SANTILLANA,7,0,0,1,"202.723,48",656,597,324,0,4,159,328,2,3,0
SANTOS DEGOLLADO,17,1,0,1,"29.163,78",251,216,119,0,21,44,152,4,64,0
SAUCILLO DE MALDONADO,5,2,0,2,"174.508,45",0,0,0,0,0,0,0,0,0,0
SEATTLE,97,5,10,11,"32.021,55",956,766,362,13,95,136,579,6,151,1
SECCION Y22,4,2,0,2,"174.823,97",143,121,95,0,1,34,80,1,24,0
SENDA,4,0,0,0,"838.966,95",232,240,180,22,18,46,85,3,63,1
SENDAS,5,1,0,1,"88.432,87",439,479,256,2,8,110,188,3,7,2
SENDERO DE LAS MORAS,13,4,1,3,"152.326,06",44,43,20,0,0,14,29,0,1,0
SENDERO DEL VALLE,13,8,0,4,"183.269,82",656,635,517,7,43,149,351,4,67,3
SENDERO REAL,13,2,1,3,"633.260,44","1,566","1,432","1,373",18,160,272,709,18,373,1
SENDEROS DE MONTE VERDE,18,6,0,2,"121.762,98",0,0,0,0,0,0,0,0,0,0
SENDEROS DE TESISTAN,0,2,0,0,"324.900,92",651,568,522,43,17,102,260,6,151,0
SENDEROS DE TLAQUEPAQUE,2,0,0,0,"387.676,17",249,256,161,1,2,40,102,1,24,0
SENTIMIENTOS DE LA NACION,2,1,0,1,"886.865,26",7,4,6,1,2,6,5,1,2,1
SEVILLA,2,0,0,1,"557.310,53",0,0,0,0,0,0,0,0,0,0
SILOS,71,35,8,31,"445.978,06","3,172","3,189","2,836",125,277,646,"1,495",62,"1,332",34
SOARE ACANTIA I,1,0,0,1,"143.259,85",541,534,337,0,6,163,334,5,8,0
SOLARES,117,11,2,5,"411.704,44","1,165","1,132",537,4,7,202,427,10,15,3
SOLE REAL,47,1,2,0,"191.515,16",73,66,16,0,2,21,38,1,2,0
SOLEDAD DE CRUZ VIEJA,8,0,0,3,"661.978,37",0,0,0,0,0,0,0,0,0,0
SOLIDARIDAD,71,13,3,16,"38.342,80","1,237","1,213",921,87,114,283,612,35,211,10
SORRENTO,3,1,1,0,"566.026,44",255,223,136,3,2,42,117,1,7,1
SOTO PARK,2,0,0,0,"99.317,07",264,253,185,0,3,65,130,4,18,0
SUMMS RESIDENCIAL,1,0,0,0,"507.011,38",0,0,0,0,0,0,0,0,0,0
SUPER MANZANA EL ALAMO,67,6,0,2,"1.069.128,74",301,293,94,2,49,57,231,4,107,2
SUTAJ,228,21,1,17,"240.989,38","1,364","1,13",529,4,79,283,856,20,267,7
TABACHINES,668,96,18,68,"872.081,99",40,35,29,0,1,7,16,0,3,0
TALPITA,358,29,7,44,"538.988,55","3,699","3,469","1,954",35,374,661,"2,226",41,891,6
TATEPOSCO,59,7,7,19,"33.689,81",155,149,36,0,3,5,15,0,11,1
TATEPOSCO (SAN JOSE DE TATEPOSCO),104,9,1,20,"1.202.305,67","1,901","1,742","1,336",17,187,318,920,22,443,5
TEMPISQUE,24,0,0,3,"1.092.248,98",21,21,22,4,4,22,10,4,8,4
TEPEYAC,189,16,4,31,"686.751,65",607,602,441,16,104,96,288,9,146,0
TEPEYAC CASINO,35,3,1,1,"32.038,18",442,455,120,1,6,64,211,0,32,0
TERRALTA,60,9,3,13,"391.902,53","1,949","1,864","1,396",8,36,472,833,12,87,1
TERRANOVA,139,4,0,4,"25.117,32",338,273,98,17,22,59,203,2,13,0
TESISTAN,165,18,9,20,"702.978,90",5,12,0,5,0,2,1,0,1,0
TETLAN,264,29,7,47,"433.719,04","3,015","2,903","1,87",27,189,678,"1,606",35,741,3
TETLAN II,153,21,6,22,"378.642,44","2,303","2,176","1,389",11,184,483,"1,215",14,503,6
TETLAN RIO VERDE,137,31,6,33,"348.230,32","2,349","2,214","1,269",15,370,416,"1,43",86,684,7
TIERRA DE ESPERANZA,1,2,1,0,"217.324,80",108,103,92,4,11,28,62,4,15,3
TIERRA RESIDENCIAL,3,1,0,0,"91.240,82","1,14","1,074",769,19,44,295,608,15,80,0
TINAJITAS,12,3,1,3,"1.106.986,06",156,150,118,0,9,32,76,2,31,0
TOLOLOTLAN,12,1,0,3,"158.949,41",757,781,561,2,61,134,465,15,122,5
TOLUQUILLA,772,34,15,61,"22.900,64","3,484","3,461","2,09",65,232,689,"1,685",60,652,11
TONALA,26,2,0,3,"83.972,15",843,852,660,22,38,202,375,12,147,1
TONALA CENTRO,1371,131,25,170,"2.368.812,87","9,028","8,863","5,166",141,"1,058","1,763","4,752",137,"2,342",27
TONALTECAS I,55,6,1,3,"175.936,39",458,432,194,2,40,119,272,9,67,0
TRES PINOS,21,0,1,1,"464.585,05",320,313,208,0,6,62,154,3,4,0
TULIPANES,328,49,7,43,"1.012.470,21","3,403","3,296","2,274",127,374,711,"1,809",29,650,7
UAG,28,9,3,6,"417.974,46","1,19","1,043",507,36,89,206,623,22,230,0
UNIDAD CADETE FCO MARQUEZ,30,2,0,0,"56.877,42",168,140,37,0,12,23,123,0,21,0
UNIDAD JOSE LUIS LOPEZ PORTILLO,39,8,1,9,"245.008,67",942,800,495,0,159,143,526,18,200,0
UNIDAD PASEO DE LAS AVES,5,5,0,3,"600.800,94",424,452,298,3,30,76,223,9,176,1
UNION DEL CUATRO,65,6,2,10,"1.250.975,22",709,717,515,2,58,180,429,12,163,4
UNIVERSITARIA,165,3,1,14,"144.276,39",635,542,199,0,86,153,452,11,139,1
URBIQUINTA MONTECARLO,111,25,7,36,"492.793,96","2,549","2,476","1,844",15,63,578,"1,221",17,126,2
URBIVILLA DEL RIO,164,38,6,29,"811.115,73","3,792","3,646","3,062",25,152,841,"1,815",38,476,11
VALDEPEÃ‘AS II,1,0,0,1,"811.115,73","3,792","3,646","3,062",25,152,841,"1,815",38,476,11
VALENTIN CAMPA,4,0,0,1,"91.201,46",119,144,79,15,1,28,46,1,30,1
VALLARTA,225,4,1,7,"51.057,33",261,268,177,0,5,80,127,1,3,0
VALLARTA CUAUHTEMOC,22,1,1,1,"166.821,90",0,0,0,0,0,0,0,0,0,0
VALLARTA LA PATRIA,48,1,1,1,"295.679,14",434,399,93,4,29,105,306,9,29,0
VALLARTA NORTE,463,10,3,13,"106.587,09",956,896,200,11,64,181,469,9,63,4
VALLARTA PONIENTE,285,7,2,9,"222.843,58",414,311,71,7,18,96,237,4,45,0
VALLARTA SAN JORGE,390,14,0,11,"401.843,55","1,434","1,282",198,3,73,125,575,11,82,0
VALLARTA UNIVERSIDAD,162,2,2,6,"442.219,08",696,645,138,3,36,143,434,6,42,7
VALLE BALCONES DE SANTA MARIA,10,3,0,2,"84.426,43",191,190,121,0,4,42,89,1,14,0
VALLE DE ATEMAJAC,8,1,0,1,"36.601,56",117,124,68,0,10,22,75,0,21,0
VALLE DE LA AMISTAD,4,2,0,0,"2.711.010,06",16,27,31,3,4,14,9,2,3,2
VALLE DE LA MISERICORDIA,96,17,0,17,"90.581,75",591,605,456,38,55,170,298,11,100,8
VALLE DE LA PRIMAVERA,4,3,1,4,"73.779,07","1,39","1,294","1,297",460,54,360,447,20,391,9
VALLE DE LA PROVIDENCIA,3,1,1,2,"605.709,74","1,153","1,148",789,93,74,282,600,28,242,11
VALLE DE LAS FLORES,18,5,2,6,"24.334,55",0,0,0,0,0,0,0,0,0,0
VALLE DE LAS HERAS,30,4,0,5,"64.288,71",324,310,237,0,8,57,162,9,29,0
VALLE DE LOS EMPERADORES,9,3,0,4,"76.364,87",571,541,473,30,27,110,231,5,229,3
